Precision,Recall,F1,Onset Precision,Onset Recall,Onset F1,Onset-Offset F1,TER,Filename,Model,Instrument
0.0,0.0,0.0,0.2048780487804878,0.1257485029940119,0.5526315789473685,0.0,5.394736842105263,f1_caro_straight,MT3,Flute
0.0,0.0,0.0,0.1758241758241758,0.1194029850746268,0.3333333333333333,0.0,3.7916666666666665,f1_dona_straight,MT3,Flute
0.0,0.0,0.0,0.3185840707964602,0.2093023255813953,0.6666666666666666,0.0,4.185185185185185,f1_row_straight,MT3,Flute
0.0078431372549019,0.0526315789473684,0.0136518771331058,0.1228668941979522,0.0705882352941176,0.4736842105263157,0.0,7.605263157894737,f2_caro_straight,MT3,Flute
0.0,0.0,0.0,0.3855421686746987,0.2711864406779661,0.6666666666666666,0.0,3.4583333333333335,f2_dona_straight,MT3,Flute
0.0,0.0,0.0,0.2545454545454546,0.1686746987951807,0.5185185185185185,0.0,4.074074074074074,f2_row_straight,MT3,Flute
0.0,0.0,0.0,0.2580645161290323,0.2105263157894736,0.3333333333333333,0.0,2.5833333333333335,f3_dona_straight,MT3,Flute
0.0,0.0,0.0,0.2352941176470588,0.1724137931034483,0.3703703703703703,0.0,3.1481481481481484,f3_row_straight,MT3,Flute
0.0,0.0,0.0,0.1878453038674033,0.1188811188811188,0.4473684210526316,0.0,4.7631578947368425,f4_caro_straight,MT3,Flute
0.0,0.0,0.0,0.3561643835616438,0.2653061224489796,0.5416666666666666,0.0,3.0416666666666665,f4_dona_straight,MT3,Flute
0.0,0.0,0.0,0.4827586206896551,0.35,0.7777777777777778,0.0,3.2222222222222223,f4_row_straight,MT3,Flute
0.0076335877862595,0.0263157894736842,0.0118343195266272,0.2130177514792899,0.1374045801526717,0.4736842105263157,0.0,4.394736842105263,f5_caro_straight,MT3,Flute
0.0117647058823529,0.0416666666666666,0.018348623853211,0.3119266055045872,0.2,0.7083333333333334,0.0,4.458333333333333,f5_dona_straight,MT3,Flute
0.0,0.0,0.0,0.1999999999999999,0.217391304347826,0.1851851851851851,0.0,1.851851851851852,f5_row_straight,MT3,Flute
0.025,0.0526315789473684,0.0338983050847457,0.2542372881355932,0.1875,0.3947368421052631,0.0169491525423728,3.0,f6_caro_straight,MT3,Flute
0.024390243902439,0.0833333333333333,0.0377358490566037,0.2641509433962264,0.1707317073170731,0.5833333333333334,0.0,4.25,f6_dona_straight,MT3,Flute
0.0,0.0,0.0,0.3300970873786408,0.2236842105263158,0.6296296296296297,0.0,3.814814814814815,f6_row_straight,MT3,Flute
0.0136986301369863,0.0526315789473684,0.0217391304347826,0.1739130434782608,0.1095890410958904,0.4210526315789473,0.0,4.7368421052631575,f7_caro_straight,MT3,Flute
0.0,0.0,0.0,0.3296703296703297,0.2238805970149253,0.625,0.0,3.7916666666666665,f7_dona_straight,MT3,Flute
0.0,0.0,0.0,0.1639344262295082,0.1470588235294117,0.1851851851851851,0.0,2.259259259259259,f7_row_straight,MT3,Flute
0.0134228187919463,0.0526315789473684,0.0213903743315508,0.1711229946524064,0.1073825503355704,0.4210526315789473,0.0106951871657754,4.815789473684211,f8_caro_straight,MT3,Flute
0.0,0.0,0.0,0.425531914893617,0.4347826086956521,0.4166666666666667,0.0,1.9583333333333333,f8_dona_straight,MT3,Flute
0.0,0.0,0.0,0.1308411214953271,0.0875,0.2592592592592592,0.0,3.962962962962963,f8_row_straight,MT3,Flute
0.0,0.0,0.0,0.1044176706827309,0.0616113744075829,0.3421052631578947,0.0,6.552631578947368,f9_caro_straight,MT3,Flute
0.0163934426229508,0.0416666666666666,0.0235294117647058,0.2823529411764706,0.1967213114754098,0.5,0.0,3.4583333333333335,f9_dona_straight,MT3,Flute
